Entry Price,Sell Price,Quantity,PnL,Trade Duration (s),Trade Date Time,Sell Reason,Percent of Trade,Highest Price Reached,Earnings with Highest Price (%),Lowest Price Reached,Lowest Price under Buy Price (%),Long / Short,Earnings Total,Earnings per Trade,Percent per Trade,Profit per year,Profit with ...,50
159.22,159.45,0.179,0.01652788624,23.36,2025-11-04T06:14:36.855Z,profit target reached,0.02631570047,159.465,0.0674,,,,,,,,,
157.01,157.13,0.179,0.00528854784,626.37,2025-11-04T08:11:32.477Z,profit target reached,0.008303548964,157.175,0.0475,,,,,,,,,
157.29,157.42,0.179,0.00704942096,17.81,2025-11-04T08:12:44.789Z,profit target reached,0.01108803423,157.445,0.0409,,,,,,,,,
159.87,160,0.179,0.00678341264,238.46,2025-11-04T09:31:20.659Z,profit target reached,0.01084464179,160.015,0.0331,,,,,,,,,
160.82,161.02,0.17,0.0182476096,86.03,2025-11-04T11:04:38.836Z,profit target reached,0.02934580576,161.005,0.0574,,,,,,,,,
161.93,162.05,0.17,0.0045408768,44.67,2025-11-04T12:03:47.406Z,profit target reached,0.007353041802,162.075,0.0319,,,,,,,,,
161.64,161.78,0.17,0.007968784,7.28,2025-11-04T12:48:32.210Z,profit target reached,0.01288074246,161.785,0.0321,,,,,,,,,
161.46,161.67,0.17,0.019884696,55.16,2025-11-04T13:35:13.575Z,profit target reached,0.03210583016,161.655,0.0631,161.435,-0.0155,long,,,,,,
161.3,161.47,0.17,0.0131013424,44.8,2025-11-04T14:07:42.269Z,profit target reached,0.02113246529,161.445,0.0323,161.215,-0.0527,long,,,,,,
160.52,160.34,0.179,0.0156743856,28.41,2025-11-04T14:20:36.540Z,profit target reached,0.02516052377,160.525,0.0607,160.385,0.0031,short,,,,,,
160.53,160.72,0.179,0.01745381744,8.66,2025-11-04T14:31:20.526Z,profit target reached,0.02801861314,160.735,0.0701,160.525,-0.0031,long,,,,,,
161,161.39,0.17,0.0505253328,9.35,2025-11-04T14:41:21.750Z,profit target reached,0.08134578581,161.175,0.0511,160.995,-0.0031,long,,,,,,
163.01,162.75,0.17,0.0282444256,24.24,2025-11-04T15:10:38.774Z,profit target reached,0.04604123817,163.01,0.0576,162.855,0,short,,,,,,
164.95,165.1,0.17,0.009344424,409.01,2025-11-04T15:26:26.732Z,profit target reached,0.01541362739,165.185,0.0848,164.385,-0.3425,long,,,,,,
163.25,163.14,0.17,0.0027172528,119.37,2025-11-04T15:34:10.504Z,profit target reached,0.004435915196,163.505,0.2139,163.065,0.1562,short,,,,,,
155.08,155.24,0.179,0.01264650752,8.64,2025-11-04T17:21:48.304Z,profit target reached,0.01961220386,155.235,0.0423,155.06,-0.0129,long,,,,,,
155.59,155.47,0.179,0.00544114176,13.16,2025-11-04T18:02:24.200Z,profit target reached,0.008465872464,155.595,0.0608,155.415,0.0032,short,,,,,,
154.72,154.88,0.179,0.01268362496,35.34,2025-11-04T18:42:51.882Z,profit target reached,0.01962410454,154.865,0.0361,154.685,-0.0226,long,,,,,,
150.73,151.12,0.179,0.05425908144,19.52,2025-11-04T20:19:57.558Z,profit target reached,0.08178471345,151.005,0.1248,150.595,-0.0896,long,,,,,,
152.13,151.96,0.179,0.0147491704,24.7,2025-11-04T20:31:52.442Z,profit target reached,0.02243791293,152.135,0.0609,152.005,0.0033,short,,,,,,
153.18,154.37,0.179,0.1971858558,142.74,2025-11-04T20:42:32.030Z,profit target reached,0.302049294,154.605,0.9884,153.18,0,long,,,,,,
